Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_runs
LA-AIDS,0.070687,0.0,0.055926,0.0,5
BLP (IV),0.077662,0.0,0.059908,0.0,5
QUAIDS,0.069565,0.0,0.055185,0.0,5
Series Est.,0.06514,0.0,0.050766,0.0,5
Window IRL,0.082299,0.001882,0.065241,0.001312,5
Lin IRL Shared,0.092001,0.0,0.073603,0.0,5
Lin IRL GoodSpec,0.091966,0.0,0.073558,0.0,5
Lin IRL Orth,0.086792,0.0,0.070608,0.0,5
Neural IRL,0.065585,0.000516,0.050744,0.00054,5
MDP Neural IRL,0.048054,0.000141,0.036095,8.6e-05,5
MDP IRL (E2E δ),0.047442,0.000217,0.035672,0.000337,5
MDP E2E (β=1),0.0474,9.5e-05,0.035769,0.000202,5
Var. Mixture,0.090424,0.008424,0.075376,0.007802,5
Neural IRL (FE),0.059643,0.001016,0.045886,0.001072,5
MDP IRL (FE),0.047455,0.000199,0.035778,0.000221,5
MDP E2E (FE),0.047352,0.000291,0.03571,0.000241,5
Neural IRL (CF),0.071261,0.001027,0.054001,0.000872,5
MDP IRL (CF),0.047782,0.00019,0.035995,0.000231,5
MDP IRL (FE+CF),0.047972,0.000281,0.036269,0.000435,5
