Model,Aspirin_mean,Aspirin_std,Acetaminophen_mean,Acetaminophen_std,Ibuprofen_mean,Ibuprofen_std,n_runs
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0,5
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0,5
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0,5
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0,5
Window IRL,-0.9944,0.0129,-1.2441,0.0145,-1.5008,0.0377,5
Lin IRL Shared,-0.163,0.0,-0.2138,0.0,-0.1887,0.0,5
Lin IRL GoodSpec,-0.1643,0.0,-0.205,0.0,-0.1809,0.0,5
Lin IRL Orth,-1.1568,0.0,-1.1187,0.0,-1.168,0.0,5
Neural IRL,-0.6702,0.0282,-1.4478,0.0348,-1.2714,0.056,5
MDP Neural IRL,-0.9469,0.0182,-1.2357,0.0164,-1.1873,0.0133,5
MDP IRL (E2E δ),-0.9633,0.0276,-1.2495,0.0164,-1.2176,0.016,5
MDP E2E (β=1),-0.9763,0.0198,-1.2397,0.0093,-1.2072,0.0167,5
Var. Mixture,-1.5127,0.1524,-1.3557,0.1097,-1.4952,0.1471,5
Neural IRL (FE),-0.9075,0.0305,-1.3233,0.0368,-1.0482,0.0106,5
MDP IRL (FE),-0.9212,0.0137,-1.2636,0.0078,-1.2026,0.0211,5
MDP E2E (FE),-0.929,0.0169,-1.2454,0.0115,-1.1926,0.0082,5
Neural IRL (CF),-0.8381,0.0307,-1.7663,0.041,-0.7622,0.0289,5
MDP IRL (CF),-0.9965,0.015,-1.3275,0.0167,-1.262,0.0132,5
MDP IRL (FE+CF),-0.9457,0.0438,-1.3188,0.0388,-1.2522,0.0263,5
