Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-34.870961,0.0,5
BLP (IV),-38.149811,0.0,5
QUAIDS,-34.970974,0.0,5
Series Est.,-36.101643,0.0,5
Window IRL,-30.691281,0.217052,5
Lin IRL Shared,-42.155892,0.0,5
Lin IRL GoodSpec,-42.172139,0.0,5
Lin IRL Orth,-31.048277,0.0,5
Neural IRL,-35.097861,0.256251,5
MDP Neural IRL,-40.234591,0.241121,5
MDP IRL (E2E δ),-40.521777,0.290557,5
MDP E2E (β=1),-40.619148,0.270933,5
Var. Mixture,-30.524006,1.636883,5
Neural IRL (FE),-29.49601,3.021796,5
MDP IRL (FE),-40.303197,0.33329,5
MDP E2E (FE),-40.957913,0.15466,5
Neural IRL (CF),-40.320236,0.391901,5
MDP IRL (CF),-40.391967,0.239599,5
MDP IRL (FE+CF),-39.98072,0.358559,5
