Model,Aspirin_mean,Aspirin_std,Acetaminophen_mean,Acetaminophen_std,Ibuprofen_mean,Ibuprofen_std,n_runs
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0,1
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0,1
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0,1
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0,1
Neural Demand (window),-0.9965,0.0,-1.0079,0.0,-1.0102,0.0,1
LDS (Shared),-0.1634,0.0,-0.2113,0.0,-0.1865,0.0,1
LDS (GoodSpec),-0.1646,0.0,-0.2053,0.0,-0.1811,0.0,1
LDS (Orth),-0.7531,0.0,-0.815,0.0,-0.7303,0.0,1
Neural Demand (static),-0.9072,0.0,-0.9836,0.0,-1.1597,0.0,1
Neural Demand (habit),-1.0871,0.0,-1.074,0.0,-1.1194,0.0,1
Var. Mixture,-1.5118,0.0,-1.4561,0.0,-1.489,0.0,1
Neural Demand (FE),-0.9694,0.0,-0.9966,0.0,-1.1223,0.0,1
"Neural Demand (habit, FE)",-0.9968,0.0,-1.0146,0.0,-0.9835,0.0,1
Neural Demand (CF),-1.0067,0.0,-1.1349,0.0,-1.2433,0.0,1
"Neural Demand (habit, CF)",-1.0515,0.0,-1.1325,0.0,-1.0547,0.0,1
"Neural Demand (habit, FE, CF)",-0.9211,0.0,-0.9369,0.0,-0.9026,0.0,1
