Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-53.207636,0.0,2
BLP (IV),-47.972531,0.0,2
QUAIDS,-52.914371,0.0,2
Series Est.,-51.283473,0.0,2
Neural Demand (window),-58.419719,0.721988,2
Linear Demand (Shared),-46.152891,0.0,2
Linear Demand (GoodSpec),-46.129761,0.0,2
Linear Demand (Orth),-57.03142,0.0,2
Neural Demand (static),-59.101304,0.216828,2
Neural Demand (habit),-57.016504,0.481963,2
Neural Demand (FE),-58.565232,0.294816,2
"Neural Demand (habit, FE)",-58.433754,0.329676,2
Neural Demand (CF),-58.886989,0.414142,2
"Neural Demand (habit, CF)",-57.103269,0.094292,2
"Neural Demand (habit, FE, CF)",-57.969792,1.067809,2
Neural Demand (placebo),-58.383592,0.247338,2
