Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,0.023115,0.0
BLP (IV),0.077662,0.0,0.059908,0.0,0.05564,0.0
QUAIDS,0.069565,0.0,0.055185,0.0,0.022647,0.0
Series Est.,0.06514,0.0,0.050766,0.0,0.02,0.0
Linear Demand (Shared),0.092368,0.0,0.074264,0.0,0.040405,0.0
Linear Demand (GoodSpec),0.092416,0.0,0.074361,0.0,0.040434,0.0
Linear Demand (Orth),0.092906,0.0,0.074848,0.0,0.040427,0.0
Neural Demand (static),0.087776,0.001389,0.068723,0.001095,0.034972,0.00122
Neural Demand (habit),0.065879,0.002075,0.050646,0.001525,0.019844,0.000991
Neural Demand (CF),0.083978,0.000986,0.065538,0.000689,0.031885,0.000745
"Neural Demand (habit, CF)",0.07641,0.00183,0.059177,0.001317,0.026054,0.001075
