Model,eps_0_0,eps_0_0_se,eps_0_1,eps_0_1_se,eps_0_2,eps_0_2_se,eps_1_0,eps_1_0_se,eps_1_1,eps_1_1_se,eps_1_2,eps_1_2_se,eps_2_0,eps_2_0_se,eps_2_1,eps_2_1_se,eps_2_2,eps_2_2_se
LA-AIDS,-0.8492,0.0,-0.0924,0.0,0.0439,0.0,-0.2337,0.0,-1.4196,0.0,0.8025,0.0,0.0281,0.0,0.0785,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-0.2227,0.0,0.2175,0.0,-0.3618,0.0,-1.7692,0.0,1.2524,0.0,-0.1529,0.0,-0.1112,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-0.0736,0.0,0.0349,0.0,-0.2287,0.0,-1.4227,0.0,0.7999,0.0,0.0585,0.0,0.0591,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-0.0089,0.0,-0.1708,0.0,-0.4708,0.0,-1.6293,0.0,1.2091,0.0,0.1696,0.0,0.081,0.0,-1.2242,0.0
LDS (Shared),-0.2018,0.0,-0.2582,0.0,-0.2582,0.0,-0.4976,0.0,-0.2405,0.0,-0.4976,0.0,-0.4389,0.0,-0.4389,0.0,-0.219,0.0
LDS (GoodSpec),-0.2097,0.0,-0.2562,0.0,-0.2562,0.0,-0.4973,0.0,-0.2403,0.0,-0.4973,0.0,-0.438,0.0,-0.438,0.0,-0.22,0.0
LDS (Orth),-0.5357,0.0,-0.133,0.0,-0.133,0.0,-0.3577,0.0,-0.6402,0.0,-0.3577,0.0,-0.1938,0.0,-0.1938,0.0,-0.4986,0.0
Neural Demand (static),-0.9477,0.0602,-0.0182,0.0193,-0.004,0.0105,-0.1397,0.015,-0.9283,0.0055,-0.0312,0.0235,-0.1052,0.0718,0.0557,0.0158,-1.0285,0.024
Neural Demand (habit),-1.0117,0.026,-0.0348,0.0035,0.0624,0.0101,-0.0661,0.0387,-0.949,0.0535,-0.0423,0.0642,-0.0566,0.0137,0.0321,0.0213,-1.0133,0.041
Neural Demand (CF),-1.0324,0.0202,0.0075,0.0052,0.0096,0.0064,-0.0412,0.0297,-0.9769,0.0138,-0.0139,0.0011,-0.0976,0.048,0.0492,0.0111,-1.0187,0.0134
"Neural Demand (habit, CF)",-0.9661,0.0567,-0.0127,0.0174,-0.0005,0.0089,-0.0789,0.0002,-0.9422,0.0056,-0.0467,0.0081,-0.0417,0.0445,0.0134,0.011,-0.9959,0.0126
