Model,eps_0,eps_0_se,eps_1,eps_1_se,eps_2,eps_2_se
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0
Linear Demand (Shared),-0.2018,0.0,-0.2405,0.0,-0.219,0.0
Linear Demand (GoodSpec),-0.2097,0.0,-0.2403,0.0,-0.22,0.0
Linear Demand (Orth),-0.5357,0.0,-0.6402,0.0,-0.4986,0.0
Neural Demand (static),-0.9477,0.0602,-0.9283,0.0055,-1.0285,0.024
Neural Demand (window),-1.005,0.0007,-0.9914,0.0075,-1.0311,0.0062
Neural Demand (habit),-1.0123,0.0183,-1.0033,0.0196,-1.0646,0.0048
Neural Demand (FE),-1.065,0.0247,-0.9646,0.0091,-1.015,0.0336
"Neural Demand (habit, FE)",-1.0741,0.0592,-0.9188,0.0052,-1.0016,0.0192
Neural Demand (CF),-1.0579,0.0166,-0.9422,0.0133,-1.0291,0.0379
"Neural Demand (habit, CF)",-1.0496,0.0055,-0.9798,0.0048,-1.0048,0.0332
