Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,0.023115,0.0
BLP (IV),0.077662,0.0,0.059908,0.0,0.05564,0.0
QUAIDS,0.069565,0.0,0.055185,0.0,0.022647,0.0
Series Est.,0.06514,0.0,0.050766,0.0,0.02,0.0
LDS (Shared),0.092001,0.0,0.073603,0.0,0.039987,0.0
LDS (GoodSpec),0.091966,0.0,0.073558,0.0,0.039899,0.0
LDS (Orth),0.086792,0.0,0.070608,0.0,0.035081,0.0
Neural Demand (static),0.064562,9e-05,0.049797,0.000163,0.019779,7.9e-05
Neural Demand (habit),0.047544,5.8e-05,0.03579,7.3e-05,0.010419,2.5e-05
Neural Demand (FE),0.059363,0.000222,0.045396,0.000231,0.016672,0.000128
"Neural Demand (habit, FE)",0.047656,7.4e-05,0.035819,6.7e-05,0.010486,3.9e-05
Neural Demand (CF),0.068317,0.000578,0.052268,0.000467,0.021488,0.00034
"Neural Demand (habit, CF)",0.047742,5.1e-05,0.03595,9.3e-05,0.010562,2.7e-05
