Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_runs
LA-AIDS,0.070687,0.0,0.055926,0.0,2
BLP (IV),0.077662,0.0,0.059908,0.0,2
QUAIDS,0.069565,0.0,0.055185,0.0,2
Series Est.,0.06514,0.0,0.050766,0.0,2
Neural Demand (window),0.086345,7.5e-05,0.068551,0.002103,2
LDS (Shared),0.092368,0.0,0.074264,0.0,2
LDS (GoodSpec),0.092416,0.0,0.074361,0.0,2
LDS (Orth),0.092906,0.0,0.074848,0.0,2
Neural Demand (static),0.087776,0.001965,0.068723,0.001548,2
Neural Demand (habit),0.074656,0.000235,0.058031,0.000692,2
Neural Demand (FE),0.08703,0.00133,0.067873,0.000987,2
"Neural Demand (habit, FE)",0.080474,0.002956,0.062576,0.002488,2
Neural Demand (CF),0.085572,0.000348,0.066909,0.000121,2
"Neural Demand (habit, CF)",0.069688,0.005359,0.053816,0.004804,2
"Neural Demand (habit, FE, CF)",0.078688,0.000666,0.061507,0.000786,2
Neural Demand (placebo),0.084401,0.003665,0.066112,0.002434,2
