Model,Aspirin_mean,Aspirin_std,Acetaminophen_mean,Acetaminophen_std,Ibuprofen_mean,Ibuprofen_std,n_runs
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0,2
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0,2
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0,2
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0,2
Neural Demand (window),-1.0062,0.0275,-0.9954,0.0033,-1.02,0.0099,2
LDS (Shared),-0.2018,0.0,-0.2405,0.0,-0.219,0.0,2
LDS (GoodSpec),-0.2097,0.0,-0.2403,0.0,-0.22,0.0,2
LDS (Orth),-0.5357,0.0,-0.6402,0.0,-0.4986,0.0,2
Neural Demand (static),-0.9485,0.0832,-0.9289,0.0086,-1.0279,0.0348,2
Neural Demand (habit),-1.0099,0.137,-0.9877,0.024,-1.0446,0.0141,2
Neural Demand (FE),-1.0588,0.0539,-0.9512,0.0193,-1.0503,0.0166,2
"Neural Demand (habit, FE)",-1.0547,0.0444,-0.9728,0.006,-1.0122,0.0039,2
Neural Demand (CF),-1.0069,0.0098,-0.9702,0.0016,-1.074,0.0059,2
"Neural Demand (habit, CF)",-1.0185,0.061,-1.0443,0.0373,-0.9951,0.0012,2
"Neural Demand (habit, FE, CF)",-1.0307,0.0507,-0.9456,0.0091,-0.9943,0.0229,2
Neural Demand (placebo),-0.9907,0.0193,-0.9483,0.0041,-1.045,0.045,2
