Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-23.218241,0.0,2
BLP (IV),-22.117644,0.0,2
QUAIDS,-23.391577,0.0,2
Series Est.,-23.329975,0.0,2
Neural Demand (window),-23.125071,0.531645,2
LDS (Shared),-28.565385,0.0,2
LDS (GoodSpec),-28.599504,0.0,2
LDS (Orth),-25.612607,0.0,2
Neural Demand (static),-23.283732,0.314287,2
Neural Demand (habit),-22.766222,0.480488,2
Neural Demand (FE),-22.764813,0.161352,2
"Neural Demand (habit, FE)",-22.915326,0.062726,2
Neural Demand (CF),-23.09388,0.055075,2
"Neural Demand (habit, CF)",-22.695283,0.6354,2
"Neural Demand (habit, FE, CF)",-23.178644,0.228171,2
Neural Demand (placebo),-23.143533,0.318868,2
