Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-34.870961,0.0,2
BLP (IV),-38.149811,0.0,2
QUAIDS,-34.970974,0.0,2
Series Est.,-36.101643,0.0,2
Neural Demand (window),-30.882655,0.159941,2
LDS (Shared),-41.993959,0.0,2
LDS (GoodSpec),-41.973641,0.0,2
LDS (Orth),-32.114095,0.0,2
Neural Demand (static),-30.282182,0.364746,2
Neural Demand (habit),-32.613852,0.237112,2
Neural Demand (FE),-30.503527,0.236901,2
"Neural Demand (habit, FE)",-31.594327,0.479067,2
Neural Demand (CF),-30.671468,0.091777,2
"Neural Demand (habit, CF)",-33.892095,1.114636,2
"Neural Demand (habit, FE, CF)",-31.974991,0.357487,2
Neural Demand (placebo),-30.880702,0.557917,2
