Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,0.023115,0.0
BLP (IV),0.077662,0.0,0.059908,0.0,0.05564,0.0
QUAIDS,0.069565,0.0,0.055185,0.0,0.022647,0.0
Series Est.,0.06514,0.0,0.050766,0.0,0.02,0.0
LDS (Shared),0.091996,0.0,0.073596,0.0,0.039975,0.0
LDS (GoodSpec),0.091966,0.0,0.073558,0.0,0.039899,0.0
LDS (Orth),0.087741,0.0,0.071423,0.0,0.03582,0.0
Neural Demand (static),0.063731,0.000297,0.049182,0.00025,0.019251,0.000191
Neural Demand (habit),0.047804,9.7e-05,0.035911,0.000112,0.010531,5.5e-05
Neural Demand (CF),0.071016,0.000541,0.054059,0.000423,0.022944,0.000326
"Neural Demand (habit, CF)",0.047906,8.9e-05,0.036027,0.00014,0.01059,4.3e-05
