Model,eps_0_0,eps_0_0_se,eps_0_1,eps_0_1_se,eps_0_2,eps_0_2_se,eps_1_0,eps_1_0_se,eps_1_1,eps_1_1_se,eps_1_2,eps_1_2_se,eps_2_0,eps_2_0_se,eps_2_1,eps_2_1_se,eps_2_2,eps_2_2_se
LA-AIDS,-0.8492,0.0,-0.0924,0.0,0.0439,0.0,-0.2337,0.0,-1.4196,0.0,0.8025,0.0,0.0281,0.0,0.0785,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-0.2227,0.0,0.2175,0.0,-0.3618,0.0,-1.7692,0.0,1.2524,0.0,-0.1529,0.0,-0.1112,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-0.0736,0.0,0.0349,0.0,-0.2287,0.0,-1.4227,0.0,0.7999,0.0,0.0585,0.0,0.0591,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-0.0089,0.0,-0.1708,0.0,-0.4708,0.0,-1.6293,0.0,1.2091,0.0,0.1696,0.0,0.081,0.0,-1.2242,0.0
LDS (Shared),-0.1631,0.0,-0.2658,0.0,-0.2658,0.0,-0.5213,0.0,-0.2126,0.0,-0.5213,0.0,-0.4582,0.0,-0.4582,0.0,-0.1876,0.0
LDS (GoodSpec),-0.1643,0.0,-0.2649,0.0,-0.2649,0.0,-0.5271,0.0,-0.205,0.0,-0.5271,0.0,-0.462,0.0,-0.462,0.0,-0.1809,0.0
LDS (Orth),-1.1111,0.0,0.0307,0.0,0.0307,0.0,0.0863,0.0,-1.084,0.0,0.0863,0.0,0.0457,0.0,0.0457,0.0,-1.1193,0.0
Neural Demand (static),-0.7035,0.0158,-0.0606,0.0144,-0.1013,0.0309,-0.2632,0.05,-1.558,0.0062,0.9704,0.0347,-0.0188,0.0149,0.191,0.0062,-1.2643,0.0074
Neural Demand (habit),-0.9361,0.0054,-0.0071,0.002,-0.0244,0.0036,0.0023,0.0093,-1.2075,0.0072,0.2507,0.0079,0.003,0.0087,0.1458,0.007,-1.1776,0.0089
Neural Demand (CF),-0.9581,0.0135,-0.364,0.0126,0.4494,0.0263,-0.3508,0.0158,-1.6235,0.0198,1.0136,0.0348,-0.0992,0.0145,-0.1227,0.013,-0.7837,0.0236
"Neural Demand (habit, CF)",-0.9487,0.0014,-0.0492,0.0017,0.0331,0.0028,-0.0146,0.0057,-1.26,0.01,0.3252,0.0122,0.0194,0.0062,0.1573,0.0072,-1.2022,0.0063
