Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,0.023115,0.0
BLP (IV),0.077662,0.0,0.059908,0.0,0.05564,0.0
QUAIDS,0.069565,0.0,0.055185,0.0,0.022647,0.0
Series Est.,0.06514,0.0,0.050766,0.0,0.02,0.0
LDS (Shared),0.091996,0.0,0.073596,0.0,0.039975,0.0
LDS (GoodSpec),0.091966,0.0,0.073558,0.0,0.039899,0.0
LDS (Orth),0.087741,0.0,0.071423,0.0,0.03582,0.0
Neural Demand (static),0.065033,0.000356,0.050204,0.000409,0.020084,0.00029
Neural Demand (habit),0.047808,9.4e-05,0.03591,4.4e-05,0.010504,3.5e-05
Neural Demand (FE),0.058994,0.000458,0.045362,0.000324,0.016517,0.00025
"Neural Demand (habit, FE)",0.047834,0.000111,0.035941,9.7e-05,0.010571,5e-05
Neural Demand (CF),0.07063,0.000893,0.053722,0.000685,0.022766,0.00052
"Neural Demand (habit, CF)",0.048193,0.00015,0.036364,0.000157,0.010742,7.6e-05
