Model,Aspirin_mean,Aspirin_std,Acetaminophen_mean,Acetaminophen_std,Ibuprofen_mean,Ibuprofen_std,n_runs
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0,5
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0,5
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0,5
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0,5
Neural Demand (window),-0.982,0.0071,-1.1858,0.0095,-1.4367,0.0169,5
LDS (Shared),-0.163,0.0,-0.2138,0.0,-0.1887,0.0,5
LDS (GoodSpec),-0.1643,0.0,-0.205,0.0,-0.1809,0.0,5
LDS (Orth),-1.1568,0.0,-1.1187,0.0,-1.168,0.0,5
Neural Demand (static),-0.7111,0.0299,-1.5619,0.0209,-1.2734,0.0218,5
Neural Demand (habit),-0.9297,0.0084,-1.233,0.0204,-1.1753,0.0149,5
Var. Mixture,-1.5082,0.1463,-1.3626,0.1047,-1.5468,0.1971,5
Neural Demand (FE),-0.9361,0.0349,-1.4477,0.0278,-0.9651,0.0342,5
"Neural Demand (habit, FE)",-0.9213,0.0148,-1.2324,0.0143,-1.1337,0.0093,5
Neural Demand (CF),-0.8403,0.0326,-1.5153,0.0213,-0.9488,0.0191,5
"Neural Demand (habit, CF)",-0.9718,0.0153,-1.3054,0.0149,-1.246,0.0234,5
"Neural Demand (habit, FE, CF)",-0.9589,0.0173,-1.2746,0.0113,-1.2151,0.0231,5
