Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-23.218241,0.0,5
BLP (IV),-22.117644,0.0,5
QUAIDS,-23.391577,0.0,5
Series Est.,-23.329975,0.0,5
Neural Demand (window),-23.860289,0.148938,5
LDS (Shared),-28.22658,0.0,5
LDS (GoodSpec),-28.178325,0.0,5
LDS (Orth),-24.089864,0.0,5
Neural Demand (static),-23.554937,0.303465,5
Neural Demand (habit),-21.29521,0.142539,5
Var. Mixture,-29.875833,3.466323,5
Neural Demand (FE),-23.915616,0.238943,5
"Neural Demand (habit, FE)",-22.165941,0.134226,5
Neural Demand (CF),-22.533953,0.374049,5
"Neural Demand (habit, CF)",-21.427097,0.244492,5
"Neural Demand (habit, FE, CF)",-22.060698,0.270349,5
