Model,eps_0_0,eps_0_0_se,eps_0_1,eps_0_1_se,eps_0_2,eps_0_2_se,eps_1_0,eps_1_0_se,eps_1_1,eps_1_1_se,eps_1_2,eps_1_2_se,eps_2_0,eps_2_0_se,eps_2_1,eps_2_1_se,eps_2_2,eps_2_2_se
LA-AIDS,-0.8492,0.0,-0.0924,0.0,0.0439,0.0,-0.2337,0.0,-1.4196,0.0,0.8025,0.0,0.0281,0.0,0.0785,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-0.2227,0.0,0.2175,0.0,-0.3618,0.0,-1.7692,0.0,1.2524,0.0,-0.1529,0.0,-0.1112,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-0.0736,0.0,0.0349,0.0,-0.2287,0.0,-1.4227,0.0,0.7999,0.0,0.0585,0.0,0.0591,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-0.0089,0.0,-0.1708,0.0,-0.4708,0.0,-1.6293,0.0,1.2091,0.0,0.1696,0.0,0.081,0.0,-1.2242,0.0
LDS (Shared),-0.163,0.0,-0.2659,0.0,-0.2659,0.0,-0.5204,0.0,-0.2138,0.0,-0.5204,0.0,-0.4576,0.0,-0.4576,0.0,-0.1887,0.0
LDS (GoodSpec),-0.1643,0.0,-0.2649,0.0,-0.2649,0.0,-0.5271,0.0,-0.205,0.0,-0.5271,0.0,-0.462,0.0,-0.462,0.0,-0.1809,0.0
LDS (Orth),-1.1568,0.0,0.0432,0.0,0.0432,0.0,0.1215,0.0,-1.1187,0.0,0.1215,0.0,0.0648,0.0,0.0648,0.0,-1.168,0.0
Neural Demand (static),-0.6992,0.0154,-0.0481,0.0136,-0.1253,0.0287,-0.3078,0.0198,-1.542,0.0114,0.9906,0.0254,-0.0497,0.0086,0.2115,0.0026,-1.2755,0.0065
Neural Demand (habit),-0.9492,0.0059,0.0039,0.002,-0.0293,0.0033,0.0206,0.0086,-1.2243,0.0036,0.2632,0.0069,-0.0179,0.0034,0.1629,0.0042,-1.1899,0.0055
Neural Demand (CF),-0.8536,0.0313,-0.3036,0.0187,0.3296,0.0281,-0.4075,0.0153,-1.5086,0.0254,0.9371,0.0357,-0.194,0.0144,0.0681,0.0101,-0.9783,0.0212
"Neural Demand (habit, CF)",-0.9772,0.0125,-0.0276,0.0077,0.0237,0.004,-0.018,0.0077,-1.2937,0.0049,0.3722,0.0067,-0.0278,0.007,0.2015,0.0079,-1.2321,0.0101
