DGP,Model,RMSE,MAE,RMSE_se,MAE_se
CES,LA-AIDS,0.009875,0.006649,0.000121,7.7e-05
CES,BLP (IV),0.022149,0.016267,9.1e-05,8.8e-05
CES,QUAIDS,0.009825,0.006648,0.000115,8.4e-05
CES,Series Estm.,0.003094,0.001854,7.7e-05,5.4e-05
CES,LDS (Shared),0.153814,0.140559,0.000198,0.000238
CES,LDS (GoodSpec),0.155165,0.14126,0.000166,0.000237
CES,LDS (Orth),0.024128,0.017991,7.7e-05,5.6e-05
CES,Var. Mixture,0.059559,0.04637,0.000481,0.000388
CES,Neural Demand (static),0.000789,0.000507,5.2e-05,2.7e-05
CES,Neural Demand (habit),0.000944,0.000672,3.1e-05,2.4e-05
CES,Neural Demand (CF),0.000973,0.000618,4.9e-05,4e-05
CES,"Neural Demand (habit, CF)",0.000996,0.000652,7.9e-05,4.3e-05
CES,Ground Truth,0.0,0.0,0.0,0.0
Quasilinear,LA-AIDS,2.7e-05,1.3e-05,1e-06,0.0
Quasilinear,BLP (IV),0.005771,0.003335,0.0,0.0
Quasilinear,QUAIDS,2.7e-05,1.3e-05,1e-06,0.0
Quasilinear,Series Estm.,2.9e-05,1.6e-05,0.0,0.0
Quasilinear,LDS (Shared),0.470639,0.443638,0.0004,0.000376
Quasilinear,LDS (GoodSpec),0.470742,0.443738,0.000504,0.000472
Quasilinear,LDS (Orth),0.007151,0.00674,1.2e-05,1.1e-05
Quasilinear,Var. Mixture,0.293287,0.238448,0.001249,0.000963
Quasilinear,Neural Demand (static),1.2e-05,5e-06,0.0,0.0
Quasilinear,Neural Demand (habit),1.3e-05,5e-06,0.0,0.0
Quasilinear,Neural Demand (CF),1.5e-05,6e-06,1e-06,0.0
Quasilinear,"Neural Demand (habit, CF)",1.6e-05,7e-06,0.0,0.0
Quasilinear,Ground Truth,0.0,0.0,0.0,0.0
Leontief,LA-AIDS,0.018942,0.013237,0.000246,0.000159
Leontief,BLP (IV),0.027645,0.021288,0.000155,0.000136
Leontief,QUAIDS,0.018917,0.013226,0.000236,0.000157
Leontief,Series Estm.,0.003353,0.002103,8.3e-05,3.1e-05
Leontief,LDS (Shared),0.091142,0.079276,0.000355,0.000327
Leontief,LDS (GoodSpec),0.095526,0.082257,0.000461,0.000408
Leontief,LDS (Orth),0.026814,0.020631,0.000193,0.000126
Leontief,Var. Mixture,0.170829,0.138897,0.000507,0.000512
Leontief,Neural Demand (static),0.000845,0.000554,8.3e-05,5.4e-05
Leontief,Neural Demand (habit),0.00085,0.00058,3.3e-05,2.1e-05
Leontief,Neural Demand (CF),0.000838,0.000563,2.5e-05,1.2e-05
Leontief,"Neural Demand (habit, CF)",0.001155,0.000803,8.9e-05,7.1e-05
Leontief,Ground Truth,0.0,0.0,0.0,0.0
Stone–Geary,LA-AIDS,0.005829,0.00424,4.5e-05,3.2e-05
Stone–Geary,BLP (IV),0.004862,0.004016,2.7e-05,1.4e-05
Stone–Geary,QUAIDS,0.005792,0.004195,4e-05,2.6e-05
Stone–Geary,Series Estm.,0.001128,0.000741,1.5e-05,1.1e-05
Stone–Geary,LDS (Shared),0.123306,0.109516,0.000101,0.000178
Stone–Geary,LDS (GoodSpec),0.123358,0.109625,0.000122,0.000212
Stone–Geary,LDS (Orth),0.003406,0.002381,3e-05,1.9e-05
Stone–Geary,Var. Mixture,0.126325,0.10278,0.000509,0.000264
Stone–Geary,Neural Demand (static),0.002137,0.00146,4.9e-05,4.3e-05
Stone–Geary,Neural Demand (habit),0.002363,0.001545,0.000104,5.8e-05
Stone–Geary,Neural Demand (CF),0.003078,0.002109,0.000242,0.000158
Stone–Geary,"Neural Demand (habit, CF)",0.002784,0.001893,0.000192,0.00012
Stone–Geary,Ground Truth,0.0,0.0,0.0,0.0
Habit,LA-AIDS,0.046613,0.034207,0.001133,0.00068
Habit,BLP (IV),0.047842,0.03532,0.001181,0.000738
Habit,QUAIDS,0.046651,0.034247,0.001138,0.000687
Habit,Series Estm.,0.045408,0.033136,0.00111,0.000688
Habit,LDS (Shared),0.149582,0.134643,0.00016,0.000342
Habit,LDS (GoodSpec),0.150461,0.135186,0.000194,0.000382
Habit,LDS (Orth),0.048019,0.035511,0.001202,0.000754
Habit,Var. Mixture,0.122147,0.096498,0.000633,0.000516
Habit,Neural Demand (static),0.0449,0.032851,0.000932,0.000581
Habit,Neural Demand (habit),0.009335,0.006245,0.00024,0.000125
Habit,Neural Demand (CF),0.04563,0.033328,0.001049,0.000658
Habit,"Neural Demand (habit, CF)",0.015993,0.011328,0.000453,0.000269
Habit,Ground Truth,0.0,0.0,0.0,0.0
