DGP,rho,Model,RMSE,MAE,RMSE_se,MAE_se
CES,0.0,Neural Demand (static),0.002464,0.002016,9e-05,8.2e-05
CES,0.0,Neural Demand (CF),0.003171,0.002509,0.000595,0.000367
CES,0.0,Neural Demand (habit),,,,
CES,0.0,"Neural Demand (habit, CF)",0.006471,0.005042,0.000626,0.00065
CES,0.6,Neural Demand (static),0.002402,0.001941,9.5e-05,0.000131
CES,0.6,Neural Demand (CF),0.003218,0.002423,0.000534,0.000268
CES,0.6,Neural Demand (habit),,,,
CES,0.6,"Neural Demand (habit, CF)",0.004252,0.003386,0.000123,0.000182
Habit,0.0,Neural Demand (static),0.026488,0.020016,8.8e-05,0.000244
Habit,0.0,Neural Demand (CF),0.026509,0.02039,0.000868,0.00103
Habit,0.0,Neural Demand (habit),,,,
Habit,0.0,"Neural Demand (habit, CF)",0.021337,0.016196,0.000386,6.2e-05
Habit,0.6,Neural Demand (static),0.026617,0.020467,0.000182,0.000671
Habit,0.6,Neural Demand (CF),0.027518,0.021075,0.000178,0.000477
Habit,0.6,Neural Demand (habit),,,,
Habit,0.6,"Neural Demand (habit, CF)",0.02337,0.018223,0.001299,0.000856
