delta,kl_mean,kl_se
0.1,0.00283948,0.00033241
0.12931034,0.00270901,0.00034861
0.15862069,0.00261963,0.00028344
0.18793103,0.00245494,0.00038873
0.21724138,0.00223688,0.00028584
0.24655172,0.00211324,0.00026335
0.27586207,0.00201921,0.00025127
0.30517241,0.00187124,0.00022295
0.33448276,0.00170667,0.0002038
0.3637931,0.0015856,0.00017692
0.39310345,0.0014422,0.00021621
0.42241379,0.00129897,0.00018359
0.45172414,0.00117136,0.00017238
0.48103448,0.00107563,0.00016855
0.51034483,0.0009691,0.00016666
0.53965517,0.00087045,0.00015152
0.56896552,0.00077857,0.00014385
0.59827586,0.00071315,0.00013383
0.62758621,0.00065899,0.00013477
0.65689655,0.00060575,0.00011564
0.6862069,0.00063625,0.0001277
0.71551724,0.0006777,0.00013053
0.74482759,0.000755,0.00011658
0.77413793,0.00087347,0.00012222
0.80344828,0.00107971,0.00015344
0.83275862,0.00136979,0.00017176
0.86206897,0.00176965,0.00018924
0.89137931,0.00236151,0.00026387
0.92068966,0.00309049,0.00043346
0.95,0.00419241,0.00061437
