DGP,Model,RMSE,MAE,RMSE_se,MAE_se
CES,LA-AIDS,0.009788,0.00658,9.9e-05,0.000114
CES,BLP (IV),0.022071,0.016134,0.000245,0.000229
CES,QUAIDS,0.009781,0.006571,0.000122,0.000109
CES,Series Estm.,0.003023,0.001791,6.2e-05,2.5e-05
CES,LDS (Shared),0.15411,0.140948,0.000298,0.000282
CES,LDS (GoodSpec),0.155316,0.141535,0.000402,0.000343
CES,LDS (Orth),0.023977,0.017757,0.000432,0.000348
CES,Neural Demand (static),0.00063,0.000407,3.8e-05,1.8e-05
CES,Neural Demand (habit),0.000886,0.000602,3.8e-05,2.6e-05
CES,Neural Demand (CF),0.000784,0.000504,2.1e-05,1.6e-05
CES,"Neural Demand (habit, CF)",0.000812,0.000534,3.4e-05,2.3e-05
CES,Ground Truth,0.0,0.0,0.0,0.0
Quasilinear,LA-AIDS,2.6e-05,1.2e-05,0.0,0.0
Quasilinear,BLP (IV),0.005771,0.003335,0.0,0.0
Quasilinear,QUAIDS,2.7e-05,1.2e-05,0.0,0.0
Quasilinear,Series Estm.,2.9e-05,1.5e-05,0.0,0.0
Quasilinear,LDS (Shared),0.471594,0.444453,0.000788,0.000728
Quasilinear,LDS (GoodSpec),0.471845,0.444708,0.000762,0.00072
Quasilinear,LDS (Orth),0.007179,0.006765,1.8e-05,1.7e-05
Quasilinear,Neural Demand (static),1.2e-05,5e-06,0.0,0.0
Quasilinear,Neural Demand (habit),1.3e-05,5e-06,0.0,0.0
Quasilinear,Neural Demand (CF),1.4e-05,6e-06,1e-06,0.0
Quasilinear,"Neural Demand (habit, CF)",1.5e-05,6e-06,0.0,0.0
Quasilinear,Ground Truth,0.0,0.0,0.0,0.0
Leontief,LA-AIDS,0.018841,0.013141,0.000194,0.00014
Leontief,BLP (IV),0.02762,0.021452,0.000301,0.000245
Leontief,QUAIDS,0.018791,0.013134,0.000221,0.000151
Leontief,Series Estm.,0.003188,0.002036,2.2e-05,1.6e-05
Leontief,LDS (Shared),0.090586,0.078757,0.00052,0.000415
Leontief,LDS (GoodSpec),0.094646,0.081513,0.000595,0.000463
Leontief,LDS (Orth),0.026583,0.020543,0.000458,0.000372
Leontief,Neural Demand (static),0.000802,0.000527,2.7e-05,1.3e-05
Leontief,Neural Demand (habit),0.000784,0.000517,3.6e-05,1.9e-05
Leontief,Neural Demand (CF),0.000781,0.000525,6.4e-05,4.7e-05
Leontief,"Neural Demand (habit, CF)",0.000867,0.00061,3.9e-05,3.6e-05
Leontief,Ground Truth,0.0,0.0,0.0,0.0
Stone–Geary,LA-AIDS,0.005812,0.004219,4.2e-05,3.3e-05
Stone–Geary,BLP (IV),0.004778,0.003963,2.8e-05,2e-05
Stone–Geary,QUAIDS,0.005761,0.004153,4.6e-05,3.4e-05
Stone–Geary,Series Estm.,0.001124,0.000733,6e-06,7e-06
Stone–Geary,LDS (Shared),0.123427,0.109837,0.000115,0.000282
Stone–Geary,LDS (GoodSpec),0.123517,0.110005,0.000127,0.000288
Stone–Geary,LDS (Orth),0.003298,0.002334,2.9e-05,2.5e-05
Stone–Geary,Neural Demand (static),0.001755,0.001153,6.7e-05,3.5e-05
Stone–Geary,Neural Demand (habit),0.002035,0.00135,0.00012,9.3e-05
Stone–Geary,Neural Demand (CF),0.002356,0.001629,2.3e-05,2.5e-05
Stone–Geary,"Neural Demand (habit, CF)",0.002393,0.001648,0.000157,0.000119
Stone–Geary,Ground Truth,0.0,0.0,0.0,0.0
Habit,LA-AIDS,0.046254,0.034241,0.001165,0.000687
Habit,BLP (IV),0.047714,0.035493,0.001182,0.000706
Habit,QUAIDS,0.046192,0.034226,0.001171,0.000693
Habit,Series Estm.,0.045529,0.033403,0.001134,0.000713
Habit,LDS (Shared),0.14856,0.133521,0.000482,0.000677
Habit,LDS (GoodSpec),0.14935,0.133982,0.00052,0.000687
Habit,LDS (Orth),0.047958,0.035725,0.001191,0.000718
Habit,Neural Demand (static),0.044971,0.032873,0.00133,0.000851
Habit,Neural Demand (habit),0.009245,0.006202,0.000186,0.000172
Habit,Neural Demand (CF),0.04456,0.032733,0.001465,0.00086
Habit,"Neural Demand (habit, CF)",0.014704,0.010605,0.000263,0.00021
Habit,Ground Truth,0.0,0.0,0.0,0.0
Endogenous CES,LA-AIDS,0.0861,0.066813,0.001782,0.001287
Endogenous CES,BLP (IV),0.029018,0.021694,0.001889,0.001229
Endogenous CES,QUAIDS,0.087211,0.068062,0.001823,0.00126
Endogenous CES,Series Estm.,0.08696,0.067331,0.002476,0.001692
Endogenous CES,LDS (Shared),0.164745,0.142079,0.000385,0.000194
Endogenous CES,LDS (GoodSpec),0.165236,0.142267,0.000427,0.000214
Endogenous CES,LDS (Orth),0.086293,0.067073,0.001205,0.000985
Endogenous CES,Neural Demand (static),0.125065,0.092322,0.001993,0.001541
Endogenous CES,Neural Demand (habit),0.168158,0.126656,0.004399,0.003219
Endogenous CES,Neural Demand (CF),0.131651,0.098298,0.00508,0.002961
Endogenous CES,"Neural Demand (habit, CF)",0.120231,0.09149,0.003317,0.002239
Endogenous CES,Ground Truth,0.0,0.0,0.0,0.0
