DGP,Model,eps0,eps1,eps2,eps0_se,eps1_se,eps2_se
CES,LA-AIDS,-1.4167,-1.4956,-1.6846,0.0064,0.0009,0.0012
CES,BLP (IV),-1.4764,-1.6918,-1.7705,0.0068,0.013,0.025
CES,QUAIDS,-1.4119,-1.4932,-1.6786,0.0064,0.0022,0.0163
CES,Series Estm.,-1.42,-1.4866,-1.7128,0.0043,0.0011,0.0068
CES,LDS (Shared),-1.4435,-1.5431,-1.4375,0.0579,0.0643,0.0782
CES,LDS (GoodSpec),-1.472,-1.6322,-1.4687,0.0707,0.1124,0.1004
CES,LDS (Orth),-1.4983,-1.7341,-1.8172,0.0016,0.0029,0.0463
CES,Neural Demand (static),-1.4364,-1.5138,-1.7357,0.0059,0.0156,0.0151
CES,Neural Demand (habit),-1.4397,-1.4976,-1.7209,0.0004,0.007,0.0179
CES,Neural Demand (CF),-1.4461,-1.5162,-1.7162,0.0027,0.0078,0.0043
CES,"Neural Demand (habit, CF)",-1.4261,-1.4532,-1.6496,0.0146,0.0142,0.0316
CES,Ground Truth,-1.431,-1.4985,-1.7067,0.0033,0.0004,0.0037
Quasilinear,LA-AIDS,-1.0,-1.0,-1.0,0.0,0.0,0.0
Quasilinear,BLP (IV),-1.0,-3.53,-1.0,0.0,0.3041,0.0
Quasilinear,QUAIDS,-1.0,-28.9252,-1.0,0.0,27.9252,0.0
Quasilinear,Series Estm.,-1.0,9.6218,-1.0,0.0,10.6218,0.0
Quasilinear,LDS (Shared),-1.0634,-1.0885,-1.0771,0.1516,0.2235,0.1508
Quasilinear,LDS (GoodSpec),-1.0652,-1.0864,-1.0709,0.132,0.1658,0.1337
Quasilinear,LDS (Orth),-1.0005,-1.0668,-1.0579,0.001,0.1258,0.1038
Quasilinear,Neural Demand (static),-1.0,-1.0857,-1.0718,0.0,0.334,0.2248
Quasilinear,Neural Demand (habit),-1.0,-1.2817,-1.0956,0.0,0.148,0.2292
Quasilinear,Neural Demand (CF),-1.0,-0.7803,-1.3146,0.0,0.1908,0.1147
Quasilinear,"Neural Demand (habit, CF)",-0.992,-1.0725,-1.0227,0.001,0.1071,0.1008
Quasilinear,Ground Truth,-1.0,-1.0,-1.0,0.0,0.0,0.0
Leontief,LA-AIDS,-0.3263,-0.3848,-0.4447,0.0004,0.0195,0.0097
Leontief,BLP (IV),-0.1924,-0.0558,-0.3605,0.0007,0.0304,0.0009
Leontief,QUAIDS,-0.3298,-0.3769,-0.4497,0.0014,0.0201,0.0083
Leontief,Series Estm.,-0.3085,-0.3123,-0.4496,0.009,0.0073,0.0119
Leontief,LDS (Shared),-0.3088,-0.3159,-0.313,0.0236,0.0151,0.029
Leontief,LDS (GoodSpec),-0.273,-0.2349,-0.2793,0.0256,0.0289,0.0436
Leontief,LDS (Orth),-0.1842,-0.0372,-0.3433,0.006,0.0067,0.0031
Leontief,Neural Demand (static),-0.2449,-0.2812,-0.3998,0.0009,0.0033,0.0072
Leontief,Neural Demand (habit),-0.2746,-0.2731,-0.4098,0.0063,0.0035,0.011
Leontief,Neural Demand (CF),-0.2545,-0.2992,-0.4121,0.0285,0.0059,0.0089
Leontief,"Neural Demand (habit, CF)",-0.3613,-0.3564,-0.4627,0.0,0.0279,0.036
Leontief,Ground Truth,-0.2869,-0.29,-0.4231,0.0069,0.0044,0.0113
Stone–Geary,LA-AIDS,-0.9196,-0.8862,-0.8709,0.0008,0.0064,0.0033
Stone–Geary,BLP (IV),-0.9035,-0.8358,-0.852,0.0046,0.0064,0.0037
Stone–Geary,QUAIDS,-0.9124,-0.8892,-0.8733,0.0036,0.0041,0.0002
Stone–Geary,Series Estm.,-0.9017,-0.8447,-0.8456,0.0016,0.0036,0.0035
Stone–Geary,LDS (Shared),-0.8733,-0.8594,-0.8767,0.0554,0.0645,0.0513
Stone–Geary,LDS (GoodSpec),-0.867,-0.8435,-0.8709,0.0555,0.0628,0.0493
Stone–Geary,LDS (Orth),-0.8985,-0.8323,-0.8419,0.0038,0.0049,0.0009
Stone–Geary,Neural Demand (static),-0.9101,-0.8813,-0.8509,0.0061,0.0029,0.0017
Stone–Geary,Neural Demand (habit),-0.9145,-0.8784,-0.8592,0.0056,0.0012,0.0034
Stone–Geary,Neural Demand (CF),-0.9138,-0.8834,-0.8594,0.0109,0.004,0.0043
Stone–Geary,"Neural Demand (habit, CF)",-0.9129,-0.8861,-0.8737,0.0076,0.0028,0.004
Stone–Geary,Ground Truth,-0.9069,-0.8429,-0.853,0.0015,0.0013,0.0038
Habit,LA-AIDS,-1.1019,-1.0941,-1.0846,0.0103,0.0028,0.0011
Habit,BLP (IV),-1.0909,-1.1091,-1.0807,0.0356,0.0084,0.0224
Habit,QUAIDS,-1.0906,-1.0934,-1.1074,0.0232,0.0117,0.0272
Habit,Series Estm.,-1.0241,-1.0032,-1.0043,0.0253,0.016,0.0134
Habit,LDS (Shared),-1.0056,-0.9841,-1.0077,0.0756,0.0769,0.0707
Habit,LDS (GoodSpec),-1.0202,-1.0273,-1.0238,0.0838,0.1031,0.0837
Habit,LDS (Orth),-1.0766,-1.0982,-1.119,0.023,0.0257,0.0396
Habit,Neural Demand (static),-1.0464,-1.0457,-1.0665,0.051,0.0146,0.041
Habit,Neural Demand (habit),-1.0848,-1.1176,-1.1034,0.0133,0.0126,0.0177
Habit,Neural Demand (CF),-1.0747,-1.0642,-1.0979,0.04,0.0082,0.0115
Habit,"Neural Demand (habit, CF)",-1.0912,-1.0808,-1.126,0.0142,0.0178,0.0244
Habit,Ground Truth,-1.608,-0.8661,-1.0806,0.414,0.2965,0.0621
Endogenous CES,LA-AIDS,-1.0562,-1.0178,-1.2231,0.0368,0.0097,0.0282
Endogenous CES,BLP (IV),-1.5128,-2.011,-1.9969,0.0657,0.2948,0.2472
Endogenous CES,QUAIDS,-1.0132,-1.063,-1.1523,0.0869,0.0318,0.0892
