Model,RMSE_mean,RMSE_se,KL_mean,KL_se,RMSE_reduction,CV_mean,CV_se
LA-AIDS,0.040785,0.00414,0.007676,0.00156,0.0,,0.0
BLP (IV),0.042309,0.003843,0.018398,0.001589,-3.850885,,0.0
QUAIDS,0.040361,0.004437,0.00751,0.001678,1.124959,,0.0
Series Estm.,0.03795,0.003184,0.006361,0.00116,6.78295,,0.0
LDS (Shared),0.144049,0.002377,0.106777,0.004304,-256.27131,,0.0
LDS (GoodSpec),0.144761,0.003049,0.107767,0.005255,-257.865952,,0.0
LDS (Orth),0.042901,0.003933,0.008437,0.001604,-5.295364,,0.0
Neural Demand (static),0.039496,0.00348,0.007191,0.001308,3.026361,,0.0
Neural Demand (habit),0.020762,0.00119,0.001997,0.000258,48.862748,,0.0
Neural Demand (CF),0.040292,0.003519,0.007425,0.001302,1.064669,,0.0
"Neural Demand (habit, CF)",0.026045,0.003583,0.003063,0.000785,36.377732,,0.0
