DGP,Model,CV,CV_err_pct,CV_se,CV_err_pct_se
CES,LA-AIDS,-120.491067,0.500191,1.636641,0.067686
CES,BLP (IV),-119.072337,1.673335,1.751254,0.043692
CES,QUAIDS,-120.351292,0.615058,1.587389,0.106719
CES,Series Estm.,-121.192863,0.25171,1.423847,0.081961
CES,LDS (Shared),-91.645531,24.32142,1.329334,0.018314
CES,LDS (GoodSpec),-90.951764,24.897396,1.580819,0.2342
CES,LDS (Orth),-119.899055,0.992868,1.951307,0.199185
CES,Neural Demand (static),-120.983499,0.767672,2.655061,0.105467
CES,Neural Demand (habit),-120.875357,0.496017,2.324616,0.190893
CES,Neural Demand (CF),-121.483498,0.317432,1.812412,0.0658
CES,"Neural Demand (habit, CF)",-120.286298,1.843483,0.516296,0.643956
CES,Ground Truth,-121.097957,0.0,1.727247,0.0
Quasilinear,LA-AIDS,-0.001336,357.992377,0.000246,84.263442
Quasilinear,BLP (IV),-0.00041,40.636646,3.1e-05,10.56899
Quasilinear,QUAIDS,-0.001818,523.096054,0.000249,85.26609
Quasilinear,Series Estm.,-0.000292,0.0002,0.0,0.0
Quasilinear,LDS (Shared),-95.497379,32734655.698899,1.510753,517858.492576
Quasilinear,LDS (GoodSpec),-95.749566,32821100.674827,1.333946,457252.139699
Quasilinear,LDS (Orth),-1.463691,501626.518514,0.013426,4602.340343
Quasilinear,Neural Demand (static),-0.003449,1082.330538,0.001649,565.191194
Quasilinear,Neural Demand (habit),-0.003551,1117.28439,0.001082,370.896976
Quasilinear,Neural Demand (CF),-0.003285,1026.175018,1.1e-05,3.707255
Quasilinear,"Neural Demand (habit, CF)",-19.412273,6654072.338432,5.504014,1886675.412896
Quasilinear,Ground Truth,-0.000292,0.0,0.0,0.0
Leontief,LA-AIDS,-77.252057,0.874843,1.213972,0.300719
Leontief,BLP (IV),-76.479046,0.14103,1.467398,0.049174
Leontief,QUAIDS,-77.102294,0.752244,0.865487,0.687737
Leontief,Series Estm.,-76.777347,0.316909,1.192702,0.25531
Leontief,LDS (Shared),-104.967371,37.060604,1.836887,0.16385
Leontief,LDS (GoodSpec),-105.620607,37.908476,2.056733,0.107356
Leontief,LDS (Orth),-77.340974,0.978515,1.724625,0.364111
Leontief,Neural Demand (static),-76.024704,0.735103,1.492933,0.093622
Leontief,Neural Demand (habit),-76.902821,0.412266,1.476694,0.050969
Leontief,Neural Demand (CF),-76.975429,0.694533,1.970761,0.49504
Leontief,"Neural Demand (habit, CF)",-75.645056,3.174532,1.01625,1.169718
Leontief,Ground Truth,-76.586352,0.0,1.431756,0.0
Stone–Geary,LA-AIDS,-88.718932,0.203604,0.376026,0.045203
Stone–Geary,BLP (IV),-87.982153,1.032295,0.353405,0.022895
Stone–Geary,QUAIDS,-88.909684,0.116846,0.232689,0.011579
Stone–Geary,Series Estm.,-88.973117,0.136717,0.458342,0.081973
Stone–Geary,LDS (Shared),-98.160487,10.41841,0.043747,0.368774
Stone–Geary,LDS (GoodSpec),-98.250794,10.519783,0.093464,0.313233
Stone–Geary,LDS (Orth),-88.939272,0.057553,0.387839,0.044201
Stone–Geary,Neural Demand (static),-88.573343,0.36804,0.53242,0.221747
Stone–Geary,Neural Demand (habit),-88.832951,0.091542,0.417652,0.075524
Stone–Geary,Neural Demand (CF),-88.686596,0.412982,0.031416,0.238243
Stone–Geary,"Neural Demand (habit, CF)",-94.07572,5.811892,2.780339,2.726952
Stone–Geary,Ground Truth,-88.899783,0.0,0.336525,0.0
Habit,LA-AIDS,-128.599127,10.776493,0.876649,0.107808
Habit,BLP (IV),-127.076914,9.464007,1.112203,0.318387
Habit,QUAIDS,-128.296081,10.51411,1.14008,0.336264
Habit,Series Estm.,-131.78824,13.537758,1.909067,2.307984
Habit,LDS (Shared),-96.386083,16.969329,0.101563,0.397723
Habit,LDS (GoodSpec),-95.978621,17.320934,0.220727,0.293019
Habit,LDS (Orth),-128.049505,10.302269,1.026742,0.239871
Habit,Neural Demand (static),-130.267358,12.22515,1.421629,1.880427
Habit,Neural Demand (habit),-119.26613,2.738301,0.546997,0.129186
Habit,Neural Demand (CF),-129.270946,11.354396,1.041749,0.24665
Habit,"Neural Demand (habit, CF)",-124.987972,7.677082,1.387123,1.824126
Habit,Ground Truth,-116.088163,0.0,0.67839,0.0
Endogenous CES,LA-AIDS,-128.45186,6.058045,3.075228,1.026725
Endogenous CES,BLP (IV),-120.263389,0.693514,2.084293,0.304732
Endogenous CES,QUAIDS,-128.884841,6.426878,2.123318,0.235399
Endogenous CES,Series Estm.,-107.615882,11.127571,1.057314,0.394501
Endogenous CES,LDS (Shared),-95.931247,20.770311,0.366781,0.827191
Endogenous CES,LDS (GoodSpec),-95.866588,20.825552,0.522607,0.697725
Endogenous CES,LDS (Orth),-123.457188,1.941478,2.331494,0.471282
Endogenous CES,Neural Demand (static),-119.557857,2.126312,4.279676,1.302108
Endogenous CES,Neural Demand (habit),-125.540317,3.624147,5.547228,3.102763
Endogenous CES,Neural Demand (CF),-119.308443,2.165947,0.920661,1.446848
Endogenous CES,"Neural Demand (habit, CF)",-144.229848,19.246499,10.225519,10.144846
Endogenous CES,Ground Truth,-121.097957,0.0,1.727247,0.0
